Datetime,Heating Demand (W),Cooling Demand (W),Electricity Consumption (kWh),Natural Gas Consumption (Therms)
2006-Jan-01 01:00:00,9083.476067,-486266.3259,1,8760
2006-Jan-01 02:00:00,8799.980814,-485769.1356,2,8759
2006-Jan-01 03:00:00,10667.58653,-485337.574,3,8758
2006-Jan-01 04:00:00,10435.52462,-484950.7485,4,8757
2006-Jan-01 05:00:00,12966.19472,-484528.1011,5,8756
2006-Jan-01 06:00:00,12016.05463,-484037.8932,6,8755
2006-Jan-01 07:00:00,19510.02316,-483641.7046,7,8754
2006-Jan-01 08:00:00,12604.87798,-483416.0456,8,8753
2006-Jan-01 09:00:00,10871.06625,-483560.6591,9,8752
2006-Jan-01 10:00:00,8286.996606,-484082.7456,10,8751
2006-Jan-01 11:00:00,7971.684524,-486913.035,11,8750
2006-Jan-01 12:00:00,9473.177317,-541151.2973,12,8749
2006-Jan-01 13:00:00,9465.271035,-604233.6357,13,8748
2006-Jan-01 14:00:00,11697.96419,-674923.3753,14,8747
2006-Jan-01 15:00:00,9473.41431,-650389.9464,15,8746
2006-Jan-01 16:00:00,7972.762254,-644659.0945,16,8745
2006-Jan-01 17:00:00,7970.71469,-584031.3717,17,8744
2006-Jan-01 18:00:00,7986.222437,-496485.8279,18,8743
2006-Jan-01 19:00:00,7980.353188,-492043.024,19,8742
2006-Jan-01 20:00:00,8627.830713,-490657.6353,20,8741
2006-Jan-01 21:00:00,10661.02385,-489347.914,21,8740
2006-Jan-01 22:00:00,13567.53449,-488323.6947,22,8739
2006-Jan-01 23:00:00,12513.32775,-487469.2332,23,8738
2006-Jan-02 00:00:00,11620.03361,-486801.9921,24,8737
2006-Jan-02 01:00:00,9645.132556,-486412.1512,25,8736
2006-Jan-02 02:00:00,9199.081809,-486052.7381,26,8735
2006-Jan-02 03:00:00,11101.24967,-485803.8475,27,8734
2006-Jan-02 04:00:00,12349.47055,-485299.3313,28,8733
2006-Jan-02 05:00:00,117435.7955,-484427.9929,29,8732
2006-Jan-02 06:00:00,250421.4847,-476134.9063,30,8731
2006-Jan-02 07:00:00,523942.0113,-485555.8746,31,8730
2006-Jan-02 08:00:00,410022.7969,-529157.0235,32,8729
2006-Jan-02 09:00:00,274676.3315,-491116.1043,33,8728
2006-Jan-02 10:00:00,196335.1217,-496020.1063,34,8727
2006-Jan-02 11:00:00,72748.04859,-495593.1577,35,8726
2006-Jan-02 12:00:00,59724.52897,-496944.903,36,8725
2006-Jan-02 13:00:00,71780.79181,-535762.9292,37,8724
2006-Jan-02 14:00:00,54461.05782,-558524.5541,38,8723
2006-Jan-02 15:00:00,37823.46353,-578747.5674,39,8722
2006-Jan-02 16:00:00,38121.00816,-571731.4198,40,8721
2006-Jan-02 17:00:00,52483.39763,-526294.4805,41,8720
2006-Jan-02 18:00:00,95935.86551,-501584.8213,42,8719
2006-Jan-02 19:00:00,146775.1967,-497885.7874,43,8718
2006-Jan-02 20:00:00,162495.2806,-496163.8841,44,8717
2006-Jan-02 21:00:00,165431.17,-495174.4903,45,8716
2006-Jan-02 22:00:00,154608.5902,-494739.046,46,8715
2006-Jan-02 23:00:00,8713.807869,-493838.1601,47,8714
2006-Jan-03 00:00:00,8734.031024,-493808.1217,48,8713
2006-Jan-03 01:00:00,5000,-493766.1003,49,8712
2006-Jan-03 02:00:00,5000,-493595.3666,50,8711
2006-Jan-03 03:00:00,5000,-494013.0503,51,8710
2006-Jan-03 04:00:00,5000,-495608.2473,52,8709
2006-Jan-03 05:00:00,5000,-502063.0073,53,8708
2006-Jan-03 06:00:00,5000,-474007.6591,54,8707
2006-Jan-03 07:00:00,157884.5145,-691310.957,55,8706
2006-Jan-03 08:00:00,130142.4953,-680160.2281,56,8705
2006-Jan-03 09:00:00,51151.36423,-649327.9932,57,8704
2006-Jan-03 10:00:00,40920.30581,-550329.2293,58,8703
2006-Jan-03 11:00:00,36315.73355,-500979.5398,59,8702
2006-Jan-03 12:00:00,41298.19902,-563319.1319,60,8701
2006-Jan-03 13:00:00,50101.35286,-565399.2156,61,8700
2006-Jan-03 14:00:00,47140.36707,-511456.9849,62,8699
2006-Jan-03 15:00:00,35811.5085,-502172.1932,63,8698
2006-Jan-03 16:00:00,39469.47669,-502339.3562,64,8697
2006-Jan-03 17:00:00,56799.01076,-502354.501,65,8696
