Datetime,Heating Demand (W),Cooling Demand (W),Electricity Consumption (kWh),Natural Gas Consumption (Therms)
2006-Jan-01 01:00:00,90834.76067,-4862663.259,1,8760
2006-Jan-01 02:00:00,87999.80814,-4857691.356,2,8759
2006-Jan-01 03:00:00,106675.8653,-4853375.74,3,8758
2006-Jan-01 04:00:00,104355.2462,-4849507.485,4,8757
2006-Jan-01 05:00:00,129661.9472,-4845281.011,5,8756
2006-Jan-01 06:00:00,120160.5463,-4840378.932,6,8755
2006-Jan-01 07:00:00,195100.2316,-4836417.046,7,8754
2006-Jan-01 08:00:00,126048.7798,-4834160.456,8,8753
2006-Jan-01 09:00:00,108710.6625,-4835606.591,9,8752
2006-Jan-01 10:00:00,82869.96606,-4840827.456,10,8751
2006-Jan-01 11:00:00,79716.84524,-4869130.35,11,8750
2006-Jan-01 12:00:00,94731.77317,-5411512.973,12,8749
2006-Jan-01 13:00:00,94652.71035,-6042336.357,13,8748
2006-Jan-01 14:00:00,116979.6419,-6749233.753,14,8747
2006-Jan-01 15:00:00,94734.1431,-6503899.464,15,8746
2006-Jan-01 16:00:00,79727.62254,-6446590.945,16,8745
2006-Jan-01 17:00:00,79707.1469,-5840313.717,17,8744
2006-Jan-01 18:00:00,79862.22437,-4964858.279,18,8743
2006-Jan-01 19:00:00,79803.53188,-4920430.24,19,8742
2006-Jan-01 20:00:00,86278.30713,-4906576.353,20,8741
2006-Jan-01 21:00:00,106610.2385,-4893479.14,21,8740
2006-Jan-01 22:00:00,135675.3449,-4883236.947,22,8739
2006-Jan-01 23:00:00,125133.2775,-4874692.332,23,8738
2006-Jan-02 00:00:00,116200.3361,-4868019.921,24,8737
2006-Jan-02 01:00:00,96451.32556,-4864121.512,25,8736
2006-Jan-02 02:00:00,91990.81809,-4860527.381,26,8735
2006-Jan-02 03:00:00,111012.4967,-4858038.475,27,8734
2006-Jan-02 04:00:00,123494.7055,-4852993.313,28,8733
2006-Jan-02 05:00:00,1174357.955,-4844279.929,29,8732
2006-Jan-02 06:00:00,2504214.847,-4761349.063,30,8731
2006-Jan-02 07:00:00,5239420.113,-4855558.746,31,8730
2006-Jan-02 08:00:00,4100227.969,-5291570.235,32,8729
2006-Jan-02 09:00:00,2746763.315,-4911161.043,33,8728
2006-Jan-02 10:00:00,1963351.217,-4960201.063,34,8727
2006-Jan-02 11:00:00,727480.4859,-4955931.577,35,8726
2006-Jan-02 12:00:00,597245.2897,-4969449.03,36,8725
2006-Jan-02 13:00:00,717807.9181,-5357629.292,37,8724
2006-Jan-02 14:00:00,544610.5782,-5585245.541,38,8723
2006-Jan-02 15:00:00,378234.6353,-5787475.674,39,8722
2006-Jan-02 16:00:00,381210.0816,-5717314.198,40,8721
2006-Jan-02 17:00:00,524833.9763,-5262944.805,41,8720
2006-Jan-02 18:00:00,959358.6551,-5015848.213,42,8719
2006-Jan-02 19:00:00,1467751.967,-4978857.874,43,8718
2006-Jan-02 20:00:00,1624952.806,-4961638.841,44,8717
2006-Jan-02 21:00:00,1654311.7,-4951744.903,45,8716
2006-Jan-02 22:00:00,1546085.902,-4947390.46,46,8715
2006-Jan-02 23:00:00,87138.07869,-4938381.601,47,8714
2006-Jan-03 00:00:00,87340.31024,-4938081.217,48,8713
2006-Jan-03 01:00:00,50000,-4937661.003,49,8712
2006-Jan-03 02:00:00,50000,-4935953.666,50,8711
2006-Jan-03 03:00:00,50000,-4940130.503,51,8710
2006-Jan-03 04:00:00,50000,-4956082.473,52,8709
2006-Jan-03 05:00:00,50000,-5020630.073,53,8708
2006-Jan-03 06:00:00,50000,-4740076.591,54,8707
2006-Jan-03 07:00:00,1578845.145,-6913109.57,55,8706
2006-Jan-03 08:00:00,1301424.953,-6801602.281,56,8705
2006-Jan-03 09:00:00,511513.6423,-6493279.932,57,8704
2006-Jan-03 10:00:00,409203.0581,-5503292.293,58,8703
2006-Jan-03 11:00:00,363157.3355,-5009795.398,59,8702
2006-Jan-03 12:00:00,412981.9902,-5633191.319,60,8701
2006-Jan-03 13:00:00,501013.5286,-5653992.156,61,8700
2006-Jan-03 14:00:00,471403.6707,-5114569.849,62,8699
2006-Jan-03 15:00:00,358115.085,-5021721.932,63,8698
2006-Jan-03 16:00:00,394694.7669,-5023393.562,64,8697
2006-Jan-03 17:00:00,567990.1076,-5023545.01,65,8696
