Datetime,Heating Demand (W),Cooling Demand (W),Electricity Consumption (kWh),Natural Gas Consumption (MMBTU),New_date_time
2006-Jan-01 01:00:00,90834.76067,-972532.6518,788.4869687,0,1/1/2018 0:00
2006-Jan-01 02:00:00,87999.80814,-971538.2712,785.2167397,0,1/1/2018 1:00
2006-Jan-01 03:00:00,106675.8653,-970675.148,723.8293917,0,1/1/2018 2:00
2006-Jan-01 04:00:00,104355.2462,-969901.497,670.2251803,0,1/1/2018 3:00
2006-Jan-01 05:00:00,129661.9472,-969056.2022,615.9025673,0,1/1/2018 4:00
2006-Jan-01 06:00:00,120160.5463,-968075.7864,664.4963898,0,1/1/2018 5:00
2006-Jan-01 07:00:00,195100.2316,-967283.4092,659.2719064,0,1/1/2018 6:00
2006-Jan-01 08:00:00,126048.7798,-966832.0912,702.1233807,0,1/1/2018 7:00
2006-Jan-01 09:00:00,108710.6625,-967121.3182,790.1223683,0,1/1/2018 8:00
2006-Jan-01 10:00:00,82869.96606,-968165.4912,706.9355442,0,1/1/2018 9:00
2006-Jan-01 11:00:00,79716.84524,-973826.07,764.8083982,0,1/1/2018 10:00
2006-Jan-01 12:00:00,94731.77317,-1082302.595,777.7461345,0,1/1/2018 11:00
2006-Jan-01 13:00:00,94652.71035,-1208467.271,709.980018,0,1/1/2018 12:00
2006-Jan-01 14:00:00,116979.6419,-1349846.751,746.8067752,0,1/1/2018 13:00
2006-Jan-01 15:00:00,94734.1431,-1300779.893,740.3657393,0,1/1/2018 14:00
2006-Jan-01 16:00:00,79727.62254,-1289318.189,706.7952219,0,1/1/2018 15:00
2006-Jan-01 17:00:00,79707.1469,-1168062.743,800.5713761,0,1/1/2018 16:00
2006-Jan-01 18:00:00,79862.22437,-992971.6558,683.3370554,0,1/1/2018 17:00
2006-Jan-01 19:00:00,79803.53188,-984086.048,794.5812414,0,1/1/2018 18:00
2006-Jan-01 20:00:00,86278.30713,-981315.2706,747.5760416,0,1/1/2018 19:00
2006-Jan-01 21:00:00,106610.2385,-978695.828,763.6385192,0,1/1/2018 20:00
2006-Jan-01 22:00:00,135675.3449,-976647.3894,690.5497542,0,1/1/2018 21:00
2006-Jan-01 23:00:00,125133.2775,-974938.4664,724.6913123,0,1/1/2018 22:00
2006-Jan-02 00:00:00,116200.3361,-973603.9842,739.0166388,0,1/1/2018 23:00
2006-Jan-02 01:00:00,96451.32556,-972824.3024,652.0026429,0,1/2/2018 0:00
2006-Jan-02 02:00:00,91990.81809,-972105.4762,766.3374986,0,1/2/2018 1:00
2006-Jan-02 03:00:00,111012.4967,-971607.695,660.8345674,0,1/2/2018 2:00
2006-Jan-02 04:00:00,123494.7055,-970598.6626,684.5853778,0,1/2/2018 3:00
2006-Jan-02 05:00:00,1174357.955,-968855.9858,680.8322971,0,1/2/2018 4:00
2006-Jan-02 06:00:00,2504214.847,-952269.8126,731.1710018,8.585325355,1/2/2018 5:00
2006-Jan-02 07:00:00,5239420.113,-971111.7492,749.6071995,24.60405777,1/2/2018 6:00
2006-Jan-02 08:00:00,4100227.969,-1058314.047,799.7422047,17.15579427,1/2/2018 7:00
2006-Jan-02 09:00:00,2746763.315,-982232.2086,687.2660013,15.57013097,1/2/2018 8:00
2006-Jan-02 10:00:00,1963351.217,-992040.2126,711.0025465,12.62136478,1/2/2018 9:00
2006-Jan-02 11:00:00,727480.4859,-991186.3154,765.9833053,4.781190553,1/2/2018 10:00
2006-Jan-02 12:00:00,597245.2897,-993889.806,639.4071845,2.707086138,1/2/2018 11:00
2006-Jan-02 13:00:00,717807.9181,-1071525.858,704.3911052,3.968424579,1/2/2018 12:00
2006-Jan-02 14:00:00,544610.5782,-1117049.108,816.1306255,2.823202164,1/2/2018 13:00
2006-Jan-02 15:00:00,378234.6353,-1157495.135,776.1946058,1.403996148,1/2/2018 14:00
2006-Jan-02 16:00:00,381210.0816,-1143462.84,833.1245896,1.85335985,1/2/2018 15:00
2006-Jan-02 17:00:00,524833.9763,-1052588.961,675.4872596,2.338091472,1/2/2018 16:00
2006-Jan-02 18:00:00,959358.6551,-1003169.643,817.4273604,5.870451871,1/2/2018 17:00
2006-Jan-02 19:00:00,1467751.967,-995771.5748,677.1697334,9.100565898,1/2/2018 18:00
2006-Jan-02 20:00:00,1624952.806,-992327.7682,745.3829649,9.619692562,1/2/2018 19:00
2006-Jan-02 21:00:00,1654311.7,-990348.9806,770.9398705,10.03181451,1/2/2018 20:00
2006-Jan-02 22:00:00,1546085.902,-989478.092,740.1635818,7.602160361,1/2/2018 21:00
2006-Jan-02 23:00:00,87138.07869,-987676.3202,700.5096003,0.103782805,1/2/2018 22:00
2006-Jan-03 00:00:00,87340.31024,-987616.2434,665.4437028,0,1/2/2018 23:00
2006-Jan-03 01:00:00,50000,-987532.2006,789.6693576,0,1/3/2018 0:00
2006-Jan-03 02:00:00,50000,-987190.7332,733.2315147,0,1/3/2018 1:00
2006-Jan-03 03:00:00,50000,-988026.1006,708.0169899,0,1/3/2018 2:00
2006-Jan-03 04:00:00,50000,-991216.4946,829.7098497,0,1/3/2018 3:00
2006-Jan-03 05:00:00,50000,-1004126.015,805.8122137,0,1/3/2018 4:00
2006-Jan-03 06:00:00,50000,-948015.3182,639.9041268,0,1/3/2018 5:00
2006-Jan-03 07:00:00,1578845.145,-1382621.914,863.8554321,4.86268411,1/3/2018 6:00
2006-Jan-03 08:00:00,1301424.953,-1360320.456,756.8744398,7.711758941,1/3/2018 7:00
2006-Jan-03 09:00:00,511513.6423,-1298655.986,811.6128048,2.95640153,1/3/2018 8:00
2006-Jan-03 10:00:00,409203.0581,-1100658.459,839.3718923,2.269895531,1/3/2018 9:00
2006-Jan-03 11:00:00,363157.3355,-1001959.08,660.9120792,1.452821256,1/3/2018 10:00
2006-Jan-03 12:00:00,412981.9902,-1126638.264,718.917012,1.42464733,1/3/2018 11:00
