Datetime,Heating Demand (kWh),Cooling Demand (kWh),Electricity Consumption (kWh),Natural Gas Consumption (Therms)
2006-Jan-01 01:00:00,118.1328765,489.2943786,1,8760
2006-Jan-01 02:00:00,109.4636965,488.8872687,2,8759
2006-Jan-01 03:00:00,144.2582011,488.589309,3,8758
2006-Jan-01 04:00:00,141.3424057,488.2865862,4,8757
2006-Jan-01 05:00:00,189.1124248,487.8987997,5,8756
2006-Jan-01 06:00:00,148.4897737,487.4713581,6,8755
2006-Jan-01 07:00:00,209.7058833,487.1568594,7,8754
2006-Jan-01 08:00:00,135.9104241,486.966732,8,8753
2006-Jan-01 09:00:00,148.1895732,486.8117358,9,8752
2006-Jan-01 10:00:00,57.55994532,486.6556553,10,8751
2006-Jan-01 11:00:00,46.18375371,515.8042542,11,8750
2006-Jan-01 12:00:00,26.02656967,487.979107,12,8749
2006-Jan-01 13:00:00,31.05220871,717.8714673,13,8748
2006-Jan-01 14:00:00,40.05661677,489.414204,14,8747
2006-Jan-01 15:00:00,39.75740978,724.5021045,15,8746
2006-Jan-01 16:00:00,44.39869008,493.8187035,16,8745
2006-Jan-01 17:00:00,48.97830048,609.1530347,17,8744
2006-Jan-01 18:00:00,49.60560765,496.1278981,18,8743
2006-Jan-01 19:00:00,63.88476813,494.4035855,19,8742
2006-Jan-01 20:00:00,66.80647118,493.3536325,20,8741
2006-Jan-01 21:00:00,70.2213975,492.2382086,21,8740
2006-Jan-01 22:00:00,75.26830486,491.4090111,22,8739
2006-Jan-01 23:00:00,76.84459269,490.6195809,23,8738
2006-Jan-02 00:00:00,80.12817,490.050107,24,8737
2006-Jan-02 01:00:00,73.22886878,489.6019364,25,8736
2006-Jan-02 02:00:00,74.40518025,489.368399,26,8735
2006-Jan-02 03:00:00,76.25756899,489.0407772,27,8734
2006-Jan-02 04:00:00,73.42394203,488.6654138,28,8733
2006-Jan-02 05:00:00,273.6876688,488.1223995,29,8732
2006-Jan-02 06:00:00,775.8859042,486.723284,30,8731
2006-Jan-02 07:00:00,1062.761884,486.4058226,31,8730
2006-Jan-02 08:00:00,903.539715,555.7841941,32,8729
2006-Jan-02 09:00:00,505.7371187,492.2914121,33,8728
2006-Jan-02 10:00:00,411.0017806,494.8842709,34,8727
2006-Jan-02 11:00:00,360.3048062,496.7053182,35,8726
2006-Jan-02 12:00:00,338.777066,499.2342258,36,8725
2006-Jan-02 13:00:00,375.6486691,569.3017932,37,8724
2006-Jan-02 14:00:00,316.1893212,549.5444396,38,8723
2006-Jan-02 15:00:00,294.1217507,599.3899198,39,8722
2006-Jan-02 16:00:00,262.8652617,562.5381112,40,8721
2006-Jan-02 17:00:00,301.0280434,506.7494438,41,8720
2006-Jan-02 18:00:00,467.9384369,502.5649789,42,8719
2006-Jan-02 19:00:00,493.0755512,499.4143892,43,8718
2006-Jan-02 20:00:00,492.3297787,497.6164493,44,8717
2006-Jan-02 21:00:00,506.4153902,496.9846316,45,8716
2006-Jan-02 22:00:00,507.7802114,496.23818,46,8715
2006-Jan-02 23:00:00,4.777526985,494.9838148,47,8714
2006-Jan-03 00:00:00,12.5373236,494.6983351,48,8713
2006-Jan-03 01:00:00,30.7766599,494.6568702,49,8712
2006-Jan-03 02:00:00,50.75575617,494.6137025,50,8711
2006-Jan-03 03:00:00,44.61691003,497.1014632,51,8710
2006-Jan-03 04:00:00,95.83353355,494.4728865,52,8709
2006-Jan-03 05:00:00,248.5151926,511.3364211,53,8708
2006-Jan-03 06:00:00,500.8282559,474.4020901,54,8707
2006-Jan-03 07:00:00,631.8448879,689.702592,55,8706
2006-Jan-03 08:00:00,562.6850536,700.6451733,56,8705
2006-Jan-03 09:00:00,377.1848708,618.2797177,57,8704
2006-Jan-03 10:00:00,314.3803703,499.8284993,58,8703
2006-Jan-03 11:00:00,391.040648,501.8778653,59,8702
2006-Jan-03 12:00:00,256.6716449,611.5556514,60,8701
2006-Jan-03 13:00:00,252.6627523,553.0720613,61,8700
2006-Jan-03 14:00:00,197.2951301,502.2871164,62,8699
2006-Jan-03 15:00:00,162.0358257,502.6834761,63,8698
2006-Jan-03 16:00:00,163.7566595,502.8265177,64,8697
2006-Jan-03 17:00:00,305.3618632,502.9436211,65,8696
2006-Jan-03 18:00:00,667.8521685,501.5388384,66,8695
2006-Jan-03 19:00:00,334.3721384,499.9881143,67,8694
2006-Jan-03 20:00:00,344.2109784,499.1588413,68,8693
2006-Jan-03 21:00:00,367.4475611,498.336229,69,8692
2006-Jan-03 22:00:00,388.5393025,497.7024573,70,8691
2006-Jan-03 23:00:00,4.778870297,496.7764278,71,8690
